Name,EIN
Black Lives Matter Foundation,47-4143254
Black Girls Code,45-4930539
NAACP National Voter Fund,52-2242476
Philadelphia Bail Fund,82-1360589
The Trayvon Martin Founddation Inc,46-5518442
Pennsylvania Prison Society,23-1352267
National Black Justice Coalition Inc, 20-0667808
National Black Womens Justicec,46-3198451
We Are Here Inc,47-5028971
Black Youth Project,47-4435527
Innocence Project of Florida,20-0210812
Pennsylvania Innocence Project,26-3176893
Innocence Project Inc,32-0077563
Midwestern Innocence Project Inc,43-1914499
National Urban League,13-1840489
Sister Love,81-1531341
Organization for Black Struggle,46-3236344
Dignity and Power Now,46-3064675
Freedom Inc,43-2023570
Center for Black Equity,20-0302937
The Knights & Orchids Society,45-2603909
Colours,45-5395626
National Black Leadership Comission on AIDS,13-3530740
Black Transmen Inc,45-1501116
Sisters PGH Corp,82-1600131
