Name,EIN,Link
Black Lives Matter Foundation,47-4143254,https://secure.actblue.com/donate/ms_blm_homepage_2019
Black Girls Code,45-4930539,https://donorbox.org/support-black-girls-code?default_interval=o
United Negro College Fund,13-1624241,https://secure2.convio.net/uncf/site/SPageServer/;jsessionid=00000000.app20004b?NONCE_TOKEN=1A15FE013EA9EC14B5943CEDF79B55ED&pagename=2016Donate
Philadelphia Bail Fund,82-1360589,https://www.phillybailfund.org/donate
The Trayvon Martin Founddation Inc,46-5518442,https://www.trayvonmartinfoundation.org/donate
Pennsylvania Prison Society,23-1352267,https://www.prisonsociety.org/become-a-member
National Black Justice Coalition Inc,20-0667808,http://new.nbjc.org/donate
National Black Womens Justice,46-3198451,https://www.nbwji.org/donate
We Are Here Inc,47-5028971,https://give.thetrevorproject.org/give/63307/#!/donation/checkout?c_src=pride2020&c_src2=headerdonatebutton
African American Planning Commission,11-3305070,https://aapci.org/site/donation-options-2/
Innocence Project of Florida,20-0210812,https://www.floridainnocence.org/donate-online-now
Pennsylvania Innocence Project,26-3176893,https://www.innocenceprojectpa.org/donate
Innocence Project Inc,32-0077563,"https://www.innocenceproject.org/donate/#:~:text=Donate%20to%20help%20free%20the,more%20in%202020%20%E2%80%94%20donate%20today."
Midwestern Innocence Project Inc,43-1914499,"https://themip.org/donate/#:~:text=To%20donate%20by%20phone%2C%20please,Support%20Midwest%20Innocence%20Project."
National Urban League,13-1840489,https://nul.org/donate
Sister Love,81-1531341,https://www.sisterlove.org/support-us
Organization for Black Struggle,46-3236344,"https://www.obs-stl.org/donate/#:~:text=OR%20through%20Venmo%20or%20Cash,order%20to%20PO%20Box%205277.&text=To%20donate%20to%20the%20OBS,for%20PFP%20in%20the%20description."
Dignity and Power Now,46-3064675,https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=8AZ58TQFFGSML
Freedom Inc,43-2023570,https://freedom-inc.org/index.php?page=Support-Us
Center for Black Equity,20-0302937,https://centerforblackequity.org/donate/
The Knights & Orchids Society,45-2603909,https://www.tkosociety.com/
Common Ground Foundation Inc,36-4432972,https://commongroundfoundation.org/donate-now/
National Action Network Inc ,11-3269182,https://nationalactionnetwork.net/donate/
Black Transmen Inc,45-1501116,https://blacktransmen.org/donate/
Sisters PGH Corp,82-1600131,https://www.paypal.com/paypalme/sisterspgh
